"Species","Island","Clutch Completion","date_egg","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex","Delta 15 N (o/oo)","Delta 13 C (o/oo)","Comments","year_egg","culmen_area"
"Adelie Penguin","Torgersen","Yes",2007-11-11,39.1,18.7,181,3750,"MALE",NA,NA,"Not enough blood for isotopes.",2007,731.17
"Adelie Penguin","Torgersen","Yes",2007-11-11,39.5,17.4,186,3800,"FEMALE",8.94956,-24.69454,NA,2007,687.3
"Adelie Penguin","Torgersen","Yes",2007-11-16,40.3,18,195,3250,"FEMALE",8.36821,-25.33302,NA,2007,725.4
"Adelie Penguin","Torgersen","Yes",2007-11-16,36.7,19.3,193,3450,"FEMALE",8.76651,-25.32426,NA,2007,708.31
"Adelie Penguin","Torgersen","Yes",2007-11-16,39.3,20.6,190,3650,"MALE",8.66496,-25.29805,NA,2007,809.58
"Adelie Penguin","Torgersen","No",2007-11-15,38.9,17.8,181,3625,"FEMALE",9.18718,-25.21799,"Nest never observed with full clutch.",2007,692.42
"Adelie Penguin","Torgersen","No",2007-11-15,39.2,19.6,195,4675,"MALE",9.4606,-24.89958,"Nest never observed with full clutch.",2007,768.32
"Adelie Penguin","Torgersen","Yes",2007-11-09,34.1,18.1,193,3475,"FEMALE",NA,NA,"No blood sample obtained.",2007,617.21
"Adelie Penguin","Torgersen","Yes",2007-11-09,42,20.2,190,4250,"MALE",9.13362,-25.09368,"No blood sample obtained for sexing.",2007,848.4
"Adelie Penguin","Torgersen","Yes",2007-11-09,37.8,17.1,186,3300,"FEMALE",8.63243,-25.21315,"No blood sample obtained for sexing.",2007,646.38
"Adelie Penguin","Torgersen","Yes",2007-11-09,37.8,17.3,180,3700,"FEMALE",NA,NA,"No blood sample obtained.",2007,653.94
"Adelie Penguin","Torgersen","Yes",2007-11-15,41.1,17.6,182,3200,"FEMALE",NA,NA,"Not enough blood for isotopes.",2007,723.36
"Adelie Penguin","Torgersen","Yes",2007-11-15,38.6,21.2,191,3800,"MALE",NA,NA,"Not enough blood for isotopes.",2007,818.32
"Adelie Penguin","Torgersen","Yes",2007-11-16,34.6,21.1,198,4400,"MALE",8.55583,-25.22588,NA,2007,730.06
"Adelie Penguin","Torgersen","Yes",2007-11-16,36.6,17.8,185,3700,"FEMALE",NA,NA,"Not enough blood for isotopes.",2007,651.48
"Adelie Penguin","Torgersen","Yes",2007-11-12,38.7,19,195,3450,"FEMALE",9.18528,-25.06691,NA,2007,735.3
"Adelie Penguin","Torgersen","Yes",2007-11-12,42.5,20.7,197,4500,"MALE",8.67538,-25.13993,NA,2007,879.75
"Adelie Penguin","Torgersen","Yes",2007-11-16,34.4,18.4,184,3325,"FEMALE",8.47827,-25.23319,NA,2007,632.96
"Adelie Penguin","Torgersen","Yes",2007-11-16,46,21.5,194,4200,"MALE",9.11616,-24.77227,NA,2007,989
"Adelie Penguin","Biscoe","Yes",2007-11-12,37.8,18.3,174,3400,"FEMALE",8.73762,-25.09383,NA,2007,691.74
"Adelie Penguin","Biscoe","Yes",2007-11-12,37.7,18.7,180,3600,"MALE",8.66271,-25.0639,NA,2007,704.99
"Adelie Penguin","Biscoe","Yes",2007-11-12,35.9,19.2,189,3800,"FEMALE",9.22286,-25.03474,NA,2007,689.28
"Adelie Penguin","Biscoe","Yes",2007-11-12,38.2,18.1,185,3950,"MALE",8.43423,-25.22664,NA,2007,691.42
"Adelie Penguin","Biscoe","Yes",2007-11-10,38.8,17.2,180,3800,"MALE",9.63954,-25.29856,NA,2007,667.36
"Adelie Penguin","Biscoe","Yes",2007-11-10,35.3,18.9,187,3800,"FEMALE",9.21292,-24.3613,NA,2007,667.17
"Adelie Penguin","Biscoe","Yes",2007-11-12,40.6,18.6,183,3550,"MALE",8.93997,-25.36288,NA,2007,755.16
"Adelie Penguin","Biscoe","Yes",2007-11-12,40.5,17.9,187,3200,"FEMALE",8.08138,-25.49448,NA,2007,724.95
"Adelie Penguin","Biscoe","No",2007-11-10,37.9,18.6,172,3150,"FEMALE",8.38404,-25.19837,"Nest never observed with full clutch.",2007,704.94
"Adelie Penguin","Biscoe","No",2007-11-10,40.5,18.9,180,3950,"MALE",8.90027,-25.11609,"Nest never observed with full clutch.",2007,765.45
"Adelie Penguin","Dream","Yes",2007-11-09,39.5,16.7,178,3250,"FEMALE",9.69756,-25.11223,NA,2007,659.65
"Adelie Penguin","Dream","Yes",2007-11-09,37.2,18.1,178,3900,"MALE",9.72764,-25.0102,NA,2007,673.32
"Adelie Penguin","Dream","Yes",2007-11-09,39.5,17.8,188,3300,"FEMALE",9.66523,-25.0602,NA,2007,703.1
"Adelie Penguin","Dream","Yes",2007-11-09,40.9,18.9,184,3900,"MALE",8.79665,-25.14591,NA,2007,773.01
"Adelie Penguin","Dream","Yes",2007-11-16,36.4,17,195,3325,"FEMALE",9.17847,-25.23061,NA,2007,618.8
"Adelie Penguin","Dream","Yes",2007-11-16,39.2,21.1,196,4150,"MALE",9.15308,-25.03469,NA,2007,827.12
"Adelie Penguin","Dream","Yes",2007-11-16,38.8,20,190,3950,"MALE",9.18985,-25.12255,NA,2007,776
"Adelie Penguin","Dream","Yes",2007-11-16,42.2,18.5,180,3550,"FEMALE",8.04787,-25.49523,NA,2007,780.7
"Adelie Penguin","Dream","No",2007-11-13,37.6,19.3,181,3300,"FEMALE",9.41131,-25.04169,"Nest never observed with full clutch.",2007,725.68
"Adelie Penguin","Dream","No",2007-11-13,39.8,19.1,184,4650,"MALE",NA,NA,"Nest never observed with full clutch. Not enough blood for isotopes.",2007,760.18
"Adelie Penguin","Dream","Yes",2007-11-16,36.5,18,182,3150,"FEMALE",9.68933,-24.4228,NA,2007,657
"Adelie Penguin","Dream","Yes",2007-11-16,40.8,18.4,195,3900,"MALE",NA,NA,"Not enough blood for isotopes.",2007,750.72
"Adelie Penguin","Dream","Yes",2007-11-19,36,18.5,186,3100,"FEMALE",9.50772,-25.03492,NA,2007,666
"Adelie Penguin","Dream","Yes",2007-11-19,44.1,19.7,196,4400,"MALE",9.2372,-24.52698,NA,2007,868.77
"Adelie Penguin","Dream","Yes",2007-11-16,37,16.9,185,3000,"FEMALE",9.36392,-25.01745,NA,2007,625.3
"Adelie Penguin","Dream","Yes",2007-11-16,39.6,18.8,190,4600,"MALE",9.49106,-24.10255,NA,2007,744.48
